ticket_id,query_text,request_type,category,priority,requester_role,department,submitted_at
TCK-8BD85385,"Laptop battery draining within 31 mins, needs replacement",Incident,Hardware Malfunction,P3-Medium,Senior Manager,QA,2026-07-05T22:22:36
TCK-FB129F31,Need Postman installed on my laptop for Data Science work,Service Request,Software Installation Request,P4-Low,Senior Manager,Sales,2026-07-31T12:30:13
TCK-4E55CC81,"Adobe Photoshop crashes every time i join the client call, error code TLS_ERROR",Incident,Application Crash or Error,P3-Medium,Senior Associate,Procurement,2025-12-22T20:19:02
TCK-8E88B878,"Requesting deployment window for Excel hotfix urgently, blocking a client deliverable",Change Request,Application Deployment/Release,P3-Medium,Senior Associate,Procurement,2026-05-15T22:06:51
TCK-11BA4535,Need firewall rule opened for port 5 to analytics dashboard,Change Request,Firewall/Network Change,P3-Medium,Team Lead,Data Science,2026-07-12T08:21:25
TCK-0E545745,requesting scheduled restart of staging server this weekend,Change Request,Server Configuration Change,P2-High,Associate,HR,2025-12-25T20:42:38
TCK-E2763763,Need enterprise license upgrade for Slack for 48 users,Service Request,Software License Request,P4-Low,Associate,Design,2026-09-08T13:47:02
TCK-7D51460C,"please grant access to client SFTP repo, approved by Michelle",Service Request,Access/Permission Request,P2-High,Director,QA,2026-04-14T20:54:21
TCK-C9FEE0DF,"new hire joining Finance on yesterday, needs full IT setup",Admin,Employee Onboarding Setup,P3-Medium,Manager,Design,2025-10-22T05:04:55
TCK-AFE7FD44,"please install Figma, required for submit the deliverable on current project",Service Request,Software Installation Request,P1-Critical,Director,DevOps,2025-12-01T12:00:43
TCK-76CC3CDC,"Please grant access to prod database repo, approved by Kevin",Service Request,Access/Permission Request,P3-Medium,Associate,Engineering,2025-12-14T23:55:43
TCK-E4B0A1A5,Offboarding: revoke prod database access for exiting team member today if possible,Admin,Employee Offboarding/Asset Return,P2-High,Senior Manager,Sales,2026-02-24T00:37:16
TCK-1ABF020C,requesting installation of IntelliJ IDEA - approved by Brandon,Service Request,Software Installation Request,P2-High,Senior Manager,Finance,2026-03-06T06:24:11
TCK-D6DC3F79,"Please grant access to internal wiki repo, approved by Caroline",Service Request,Access/Permission Request,P2-High,Senior Associate,Finance,2026-05-02T16:13:12
TCK-42F998C4,Requesting additional SAP GUI seat for new QA hire,Service Request,Software License Request,P3-Medium,Senior Associate,Marketing,2025-08-28T23:38:29
TCK-3D8BD820,"locked out of my account after 7 failed attempts, before EOD",Incident,Login/Authentication Failure,P1-Critical,Associate,DevOps,2025-05-02T19:35:20
TCK-FC2908C7,"my VPN keeps disconnecting every hour, can't start my shift",Incident,Network/VPN Connectivity Issue,P1-Critical,Associate,Engineering,2025-08-04T09:55:51
TCK-75C8DFD6,Need firewall rule opened for port 45 to CRM,Change Request,Firewall/Network Change,P2-High,Manager,Marketing,2025-10-27T00:26:04
TCK-C7571BF6,"please install Figma, required for export data on current project",Service Request,Software Installation Request,P4-Low,Senior Manager,DevOps,2026-08-01T05:37:25
TCK-F8A00834,"need an external monitor for wfh setup, approved by Dawn",Service Request,New Hardware/Peripheral Request,P4-Low,Associate,HR,2026-03-19T03:30:13
TCK-F7EAAE97,RFC for production release of Zoom v29.0 this sprint,Change Request,Application Deployment/Release,P1-Critical,Senior Associate,Data Science,2026-08-30T14:27:16
TCK-F165317B,"Vpn client shows error 0x80070005 on Linux, blocking access to prod database",Incident,Network/VPN Connectivity Issue,P3-Medium,Senior Associate,Procurement,2025-10-05T22:25:14
TCK-0C64409C,"Postman crashes every time i export data, error code TLS_ERROR",Incident,Application Crash or Error,P2-High,Senior Manager,Customer Support,2025-03-23T20:43:04
TCK-5EBB8153,requesting Jeffrey be added as owner of Sales DL,Service Request,Distribution List / Mailbox Request,P4-Low,Associate,Finance,2025-11-25T11:00:45
TCK-92AB49A6,"Excel freezes when i try to push code, need this fixed before EOD",Incident,Application Crash or Error,P2-High,Associate,DevOps,2026-08-30T00:55:08
TCK-C81CA374,Requesting installation of Slack - approved by Erin,Service Request,Software Installation Request,P4-Low,Senior Associate,Legal,2026-01-18T21:57:03
TCK-E448879F,"need an external monitor for wfh setup, approved by Kathryn",Service Request,New Hardware/Peripheral Request,P4-Low,Manager,Finance,2025-10-31T15:07:42
TCK-1C1B0C98,"employee last working day is yesterday, plz disable access",Admin,Employee Offboarding/Asset Return,P2-High,Manager,Sales,2026-07-02T00:36:04
TCK-0A96C3FE,Need IntelliJ IDEA installed on my laptop for Procurement work,Service Request,Software Installation Request,P4-Low,Senior Manager,Data Science,2026-03-13T12:21:57
TCK-82233218,"Git client freezes when i try to export data, need this fixed at the earliest",Incident,Application Crash or Error,P1-Critical,Team Lead,Design,2026-01-03T06:35:40
TCK-7081EC14,"locked out of my account after 37 failed attempts,",Incident,Login/Authentication Failure,P2-High,Senior Associate,DevOps,2025-07-04T02:35:03
TCK-D083FFF5,"Hi team, my VPN keeps disconnecting every hour, can't open a file",Incident,Network/VPN Connectivity Issue,P1-Critical,Senior Associate,Procurement,2025-09-20T04:42:13
TCK-CEBE128F,requesting approval to add new column to analytics dashboard schema before EOD,Change Request,Database Schema/Deployment Change,P2-High,Senior Manager,Data Science,2026-03-21T06:18:16
TCK-E37135FA,requesting installation of Putty - approved by Raymond,Service Request,Software Installation Request,P4-Low,Team Lead,Marketing,2025-06-01T16:41:58
TCK-D8C92B27,Can someone set up Slack on my machine at the earliest,Service Request,Software Installation Request,P4-Low,Manager,Marketing,2026-02-04T00:33:02
TCK-E9806D99,RFC for production release of Postman v26.0 this sprint,Change Request,Application Deployment/Release,P2-High,Associate,DevOps,2026-07-25T06:56:43
TCK-C3DD7407,RFC for production release of Salesforce v14.0 this sprint,Change Request,Application Deployment/Release,P3-Medium,Manager,HR,2025-12-04T19:22:17
TCK-4C018CDF,need firewall rule opened for port 16 to client SFTP,Change Request,Firewall/Network Change,P3-Medium,Associate,Procurement,2026-05-13T18:07:40
TCK-64AD0A72,requesting installation of Zoom - approved by Sean,Service Request,Software Installation Request,P4-Low,Associate,Engineering,2026-05-23T07:07:22
TCK-563E9806,Requesting additional Figma seat for new Procurement hire,Service Request,Software License Request,P3-Medium,Senior Associate,Engineering,2026-03-15T22:13:41
TCK-10969FED,RFC for production release of WinSCP v38.0 this sprint,Change Request,Application Deployment/Release,P2-High,Senior Manager,Marketing,2025-08-28T12:55:24
TCK-DDAE17C2,"hi, my VPN keeps disconnecting every hour, can't export data",Incident,Network/VPN Connectivity Issue,P2-High,Senior Associate,Customer Support,2025-04-06T23:58:37
TCK-8BA02391,"Locked out of my account after 9 failed attempts, urgently, blocking a client deliverable",Incident,Login/Authentication Failure,P2-High,Manager,Marketing,2025-04-09T07:23:52
TCK-577746B8,"locked out of my account after 42 failed attempts,",Incident,Login/Authentication Failure,P2-High,Senior Associate,Marketing,2025-07-16T03:33:43
TCK-1283A925,need password reset for shared DevOps service account,Service Request,Password Reset,P1-Critical,Associate,Design,2026-07-25T01:18:30
TCK-8CBF79C2,Requesting additional Tableau seat for new Design hire,Service Request,Software License Request,P4-Low,Manager,Customer Support,2026-06-02T17:17:36
TCK-94811EDA,requesting approval to add new column to shared drive schema,Change Request,Database Schema/Deployment Change,P2-High,Associate,Procurement,2026-05-30T23:35:46
TCK-B3647727,new joiner needs PowerBI + standard Customer Support toolset installed,Service Request,Software Installation Request,P4-Low,Associate,Engineering,2026-08-10T10:33:03
TCK-306EFAAE,Requesting installation of SAP GUI - approved by Suzanne,Service Request,Software Installation Request,P4-Low,Associate,HR,2026-05-08T20:56:25
TCK-AC92C8E7,new joiner needs Jira + standard Data Science toolset installed,Service Request,Software Installation Request,P3-Medium,Associate,Marketing,2025-04-28T15:10:40
TCK-979E847D,RFC for production release of Postman v1.0 this sprint,Change Request,Application Deployment/Release,P2-High,Team Lead,Data Science,2025-04-29T14:04:12
TCK-C19A723E,"requesting approval to add new column to internal wiki schema urgently, blocking a client deliverable",Change Request,Database Schema/Deployment Change,P3-Medium,Senior Associate,Customer Support,2025-08-07T18:47:07
TCK-C99617B5,Requesting installation of VS Code - approved by Lisa,Service Request,Software Installation Request,P4-Low,Team Lead,Sales,2025-06-30T10:04:22
TCK-49F48B14,Need Docker Desktop installed on my laptop for Engineering work,Service Request,Software Installation Request,P3-Medium,Associate,Finance,2025-11-12T07:30:13
TCK-96D9DB23,"Requesting deployment window for Docker Desktop hotfix urgently, blocking a client deliverable",Change Request,Application Deployment/Release,P2-High,Associate,Sales,2026-04-23T16:01:29
TCK-86E56EB1,raising change request to resize compute for GitHub repo before since the reboot,Change Request,Server Configuration Change,P1-Critical,Senior Associate,Data Science,2026-04-23T20:37:56
TCK-D3270BE1,"Vpn client shows error 500 on Windows 10, blocking access to CRM",Incident,Network/VPN Connectivity Issue,P2-High,Associate,HR,2026-05-30T12:27:36
TCK-1CE02A47,Requesting additional PowerBI seat for new Marketing hire,Service Request,Software License Request,P2-High,Director,Data Science,2025-08-21T13:35:48
TCK-32ECC294,"please grant access to internal wiki repo, approved by Brady",Service Request,VPN Access Setup,P3-Medium,Associate,QA,2025-07-07T12:04:25
TCK-47CD9F7E,"Offboarding: revoke analytics dashboard access for exiting team member urgently, blocking a client deliverable",Admin,Employee Offboarding/Asset Return,P2-High,Associate,Procurement,2026-08-23T09:13:19
TCK-37023F1B,RFC for production release of Slack v22.0 this sprint,Change Request,Application Deployment/Release,P2-High,Senior Associate,Legal,2026-07-30T17:43:07
TCK-C6C91C34,Need firewall rule opened for port 43 to CRM,Change Request,Firewall/Network Change,P2-High,Team Lead,Customer Support,2026-05-13T01:23:59
TCK-4B65C9F2,Need read/write access to build pipeline for HR project,Service Request,Access/Permission Request,P3-Medium,Associate,HR,2025-12-19T04:03:21
TCK-9C56AB4B,can someone set up Adobe Photoshop on my machine,Service Request,Software Installation Request,P4-Low,Manager,Engineering,2025-11-04T11:33:29
TCK-7A91767C,"New hire joining QA on yesterday, needs full IT setup",Admin,Employee Onboarding Setup,P4-Low,Director,Customer Support,2026-05-25T12:01:09
TCK-7AC45C94,requesting Emily be added as owner of HR DL,Service Request,Distribution List / Mailbox Request,P4-Low,Senior Associate,QA,2026-02-19T11:35:37
TCK-D1385CAA,Need enterprise license upgrade for Putty for 47 users,Service Request,Software License Request,P4-Low,Team Lead,Engineering,2025-08-22T23:15:41
TCK-AA6FE79B,"Please install MS Teams, required for submit the deliverable on current project",Service Request,Software Installation Request,P3-Medium,VP,DevOps,2025-03-12T07:22:51
TCK-5AEEAC35,requesting installation of Anaconda - approved by Benjamin,Service Request,Software Installation Request,P4-Low,Manager,Sales,2026-09-04T19:08:16
TCK-33D65610,"new hire joining Data Science on since last night, needs full IT setup",Admin,Employee Onboarding Setup,P4-Low,Team Lead,Design,2025-07-11T11:56:38
TCK-0BF8C36F,"requesting a new laptop, current one is 32 years old and slow",Service Request,New Hardware/Peripheral Request,P3-Medium,Associate,Data Science,2025-07-28T05:13:43
TCK-4F0D83F1,"Please grant access to Jira project repo, approved by Justin",Service Request,Access/Permission Request,P2-High,Team Lead,Legal,2025-05-19T04:08:31
TCK-DCBD464E,Need firewall rule opened for port 12 to analytics dashboard,Change Request,Firewall/Network Change,P3-Medium,Senior Associate,Customer Support,2025-08-02T10:40:31
TCK-F846CEAB,"please install VS Code, required for export data on current project",Service Request,Software Installation Request,P3-Medium,Associate,Customer Support,2025-11-01T04:04:45
TCK-75690B76,Requesting additional Jira seat for new Design hire,Service Request,Software License Request,P4-Low,Senior Associate,Engineering,2025-10-18T16:22:02
TCK-9E7A09F7,Need VS Code installed on my laptop for Marketing work,Service Request,Software Installation Request,P4-Low,Manager,Finance,2025-10-07T02:51:09
TCK-28B3B2B0,Requesting approval to run migration script on prod database db,Change Request,Database Schema/Deployment Change,P2-High,Senior Associate,QA,2025-09-30T03:40:01
TCK-E232166A,Raising change request to roll back PowerBI deployment,Change Request,Application Deployment/Release,P2-High,Team Lead,Customer Support,2026-07-01T16:55:52
TCK-A8D7C3C9,"please install PowerBI, required for push code on current project",Service Request,Software Installation Request,P4-Low,Director,Sales,2026-02-13T07:26:47
TCK-B1CD2A1F,"vpn client shows error TLS_ERROR on Windows 11, blocking access to analytics dashboard",Incident,Network/VPN Connectivity Issue,P2-High,Senior Manager,DevOps,2025-08-22T09:30:56
TCK-62557B48,requesting installation of WinSCP - approved by Melinda,Service Request,Software Installation Request,P4-Low,Associate,Legal,2026-03-28T05:28:53
TCK-6FAB8DB4,"Jira freezes when i try to run a report, need this fixed",Incident,Application Crash or Error,P1-Critical,Team Lead,Engineering,2026-08-12T16:01:21
TCK-397AA036,"my VPN keeps disconnecting every 10 mins, can't start my shift",Incident,Network/VPN Connectivity Issue,P1-Critical,Associate,Finance,2025-10-12T16:20:52
TCK-B0DE1C2F,RFC for production release of SAP GUI v15.0 this sprint,Change Request,Application Deployment/Release,P2-High,Manager,Data Science,2026-03-11T05:29:39
TCK-EDB5AFF1,"Putty freezes when i try to start my shift, need this fixed at the earliest",Incident,Application Crash or Error,P2-High,Associate,Finance,2026-07-29T20:56:48
TCK-3364A7D2,requesting approval to add new column to staging server schema,Change Request,Database Schema/Deployment Change,P2-High,VP,HR,2026-02-27T03:34:01
TCK-C54803D7,"need an external monitor for wfh setup, approved by Jeffrey",Service Request,New Hardware/Peripheral Request,P1-Critical,Senior Associate,DevOps,2025-08-06T16:27:01
TCK-1A3A914C,Requesting Shelby be added as owner of Marketing DL,Service Request,Distribution List / Mailbox Request,P3-Medium,Manager,QA,2025-08-14T23:45:00
TCK-70B7465D,"please grant access to staging server repo, approved by Kristin",Service Request,Access/Permission Request,P1-Critical,Senior Associate,HR,2025-04-22T07:12:23
TCK-C4ADB086,"Getting a white screen / blank page in Jira, cleared cache already",Incident,Application Crash or Error,P2-High,Manager,Data Science,2025-12-09T21:06:14
TCK-16489B61,"Getting a white screen / blank page in Putty, cleared cache already",Incident,Application Crash or Error,P3-Medium,Associate,Data Science,2025-06-26T18:31:54
TCK-E7650AA9,"Docker Desktop crashes every time i start my shift, error code timeout-504",Incident,Application Crash or Error,P2-High,Senior Manager,Marketing,2026-05-26T14:27:30
TCK-E444483F,"Please grant access to internal wiki repo, approved by Rodney",Service Request,Access/Permission Request,P3-Medium,Team Lead,Procurement,2025-11-29T22:59:15
TCK-69EEB07F,Requesting Angela be added as owner of HR DL,Service Request,Distribution List / Mailbox Request,P3-Medium,Associate,Customer Support,2025-05-26T16:08:50
TCK-1F1AFA02,RFC for production release of Salesforce v4.0 this sprint,Change Request,Application Deployment/Release,P1-Critical,Team Lead,Data Science,2026-08-29T05:25:08
TCK-F91C9112,Need MS Teams installed on my laptop for Sales work,Service Request,Software Installation Request,P4-Low,Associate,Sales,2026-02-25T19:48:14
TCK-8D4D5DF0,"Need an external monitor for wfh setup, approved by Victoria",Service Request,New Hardware/Peripheral Request,P4-Low,Associate,Legal,2026-02-20T13:31:10
TCK-08EAF13B,need enterprise license upgrade for Slack for 39 users,Service Request,Software License Request,P4-Low,Associate,Customer Support,2025-06-23T18:31:34
TCK-A69A1887,Need firewall rule opened for port 1 to build pipeline,Change Request,Firewall/Network Change,P2-High,Senior Associate,DevOps,2026-07-16T10:58:21
TCK-DC1CC9D9,can someone set up Adobe Photoshop on my machine today if possible,Service Request,Software Installation Request,P3-Medium,Team Lead,Customer Support,2025-12-12T21:49:45
TCK-A9EBB711,"Laptop battery draining within 3 mins, needs replacement",Incident,Hardware Malfunction,P3-Medium,Associate,Procurement,2026-02-25T14:22:28
TCK-7423B763,need firewall rule opened for port 31 to client SFTP,Change Request,Firewall/Network Change,P2-High,Team Lead,Sales,2025-11-13T06:29:33
TCK-88E41B40,"Vpn client shows error DNS_PROBE_FAILED on Windows 10, blocking access to shared drive",Incident,Network/VPN Connectivity Issue,P2-High,Senior Associate,Design,2025-10-22T11:24:43
TCK-029BE66B,"my VPN keeps disconnecting every 10 mins, can't submit the deliverable",Incident,Network/VPN Connectivity Issue,P1-Critical,Associate,Finance,2025-07-11T19:25:28
TCK-45213173,Need read/write access to shared drive for Finance project,Service Request,Access/Permission Request,P3-Medium,Manager,QA,2026-08-16T11:29:29
TCK-1434BD48,Requesting additional Git client seat for new Design hire,Service Request,Software License Request,P4-Low,Associate,Engineering,2026-04-08T10:10:21
TCK-73559304,Requesting installation of Anaconda - approved by Christopher,Service Request,Software Installation Request,P4-Low,Associate,Customer Support,2025-07-13T00:39:52
TCK-B6F5399E,"Postman freezes when i try to join the client call, need this fixed",Incident,Application Crash or Error,P2-High,Senior Manager,Finance,2025-05-05T00:26:30
TCK-477DCD50,Requesting installation of Excel - approved by Laura,Service Request,Software Installation Request,P4-Low,Associate,HR,2025-08-03T07:36:50
TCK-0F1EAD90,Need PowerBI installed on my laptop for Marketing work,Service Request,Software Installation Request,P3-Medium,Senior Associate,Marketing,2026-03-04T09:36:48
TCK-63548B96,"Requesting a new laptop, current one is 32 years old and slow",Service Request,New Hardware/Peripheral Request,P4-Low,Manager,Engineering,2025-10-18T08:54:33
TCK-97166F39,new joiner needs MS Teams + standard DevOps toolset installed,Service Request,Software Installation Request,P3-Medium,Senior Associate,Legal,2026-07-03T19:18:35
TCK-FC48F2D4,Requesting installation of Adobe Photoshop - approved by Brandi,Service Request,Software Installation Request,P4-Low,Associate,Marketing,2025-08-27T11:36:35
TCK-E203931A,"Vpn client shows error DNS_PROBE_FAILED on macOS, blocking access to client SFTP",Incident,Network/VPN Connectivity Issue,P3-Medium,Associate,DevOps,2025-05-22T14:39:53
TCK-4CC34057,raising change request to resize compute for build pipeline before since last night,Change Request,Database Schema/Deployment Change,P3-Medium,Associate,Sales,2026-03-27T19:22:41
TCK-1B0F6013,Need read/write access to prod database for Data Science project,Service Request,Access/Permission Request,P2-High,Team Lead,Legal,2026-02-06T17:31:54
TCK-40AE85B8,"need a license for SAP GUI, trial about to expire",Service Request,Software License Request,P4-Low,Associate,Sales,2025-11-26T22:13:39
TCK-452A01B3,Need read/write access to CRM for Finance project,Service Request,Access/Permission Request,P4-Low,Associate,DevOps,2025-07-08T07:18:03
TCK-84EDA370,Requesting Katherine be added as owner of Customer Support DL,Service Request,Distribution List / Mailbox Request,P4-Low,Senior Associate,Design,2025-12-08T02:27:38
TCK-36ABE217,Need firewall rule opened for port 40 to prod database,Change Request,Firewall/Network Change,P2-High,Associate,Data Science,2025-09-25T23:14:16
TCK-C6BA2AE1,shared mailbox for Customer Support not accessible since this morning,Incident,Email/Outlook Issue,P1-Critical,Senior Associate,Design,2026-06-20T10:13:19
TCK-17DD27D8,New joiner needs Git client + standard HR toolset installed,Service Request,Software Installation Request,P4-Low,Senior Associate,Marketing,2026-02-23T11:23:28
TCK-372AD770,RFC for production release of Excel v7.0 this sprint,Change Request,Application Deployment/Release,P2-High,Manager,Sales,2026-03-09T06:21:44
TCK-61B9F895,need read/write access to shared drive for Customer Support project,Service Request,Access/Permission Request,P3-Medium,Manager,HR,2025-05-24T06:49:11
TCK-0E1CAFEE,"Please install VS Code, required for export data on current project",Service Request,Software Installation Request,P4-Low,Associate,Customer Support,2025-12-10T15:37:19
TCK-E090A73C,"Please grant access to analytics dashboard repo, approved by Justin",Service Request,Access/Permission Request,P3-Medium,VP,Marketing,2025-12-29T13:37:49
TCK-3E4E431F,RFC for production release of Zoom v7.0 this sprint,Change Request,Application Deployment/Release,P2-High,VP,Design,2026-02-05T12:11:40
TCK-6D558284,need firewall rule opened for port 46 to GitHub repo,Change Request,Firewall/Network Change,P2-High,Senior Manager,Sales,2026-03-31T19:42:49
TCK-6116F030,Requesting elevated access to prod database to debug prod issue today if possible,Service Request,Access/Permission Request,P3-Medium,Team Lead,QA,2025-08-16T10:33:47
TCK-E80362A8,Adobe Photoshop is throwing an exception on startup since since the reboot,Incident,Application Crash or Error,P3-Medium,Senior Associate,Customer Support,2026-02-01T22:11:20
TCK-661ADDB9,"new hire joining Customer Support on yesterday, needs full IT setup",Admin,Employee Onboarding Setup,P2-High,Team Lead,Marketing,2025-07-20T14:34:37
TCK-EAD1DD2F,RFC for production release of Salesforce v13.0 this sprint,Change Request,Application Deployment/Release,P2-High,Manager,Engineering,2025-12-31T23:26:40
TCK-EF0B305F,requesting Kevin be added as owner of Marketing DL,Service Request,Distribution List / Mailbox Request,P4-Low,Manager,Data Science,2026-02-14T15:55:15
TCK-8314274C,New joiner needs Salesforce + standard Data Science toolset installed,Service Request,Software Installation Request,P4-Low,Associate,Data Science,2026-04-05T01:44:37
TCK-8464E15E,requesting installation of Slack - approved by Christina,Service Request,Software Installation Request,P4-Low,Team Lead,HR,2026-07-01T07:04:10
TCK-03F630A6,Requesting deployment window for Postman hotfix asap,Change Request,Application Deployment/Release,P2-High,Team Lead,HR,2026-05-23T00:34:16
TCK-03DFF93C,"Please grant access to prod database repo, approved by Angela",Service Request,Access/Permission Request,P2-High,Associate,DevOps,2026-02-08T04:38:05
TCK-05C33BC2,Zoom is throwing an exception on startup since since last night,Incident,Application Crash or Error,P3-Medium,Associate,Finance,2025-05-29T22:36:54
TCK-C5437AC8,please add me to the Engineering distribution list,Service Request,Distribution List / Mailbox Request,P4-Low,VP,Engineering,2026-04-08T14:14:13
TCK-6182AB18,Requesting elevated access to Jira project to debug prod issue before EOD,Service Request,Access/Permission Request,P3-Medium,Senior Associate,QA,2026-04-09T13:31:25
TCK-FC9DD196,requesting elevated access to internal wiki to debug prod issue today if possible,Service Request,Access/Permission Request,P3-Medium,Manager,Legal,2025-08-10T09:51:48
TCK-E1799EEE,Need enterprise license upgrade for Anaconda for 11 users,Service Request,Software License Request,P3-Medium,Associate,QA,2025-09-23T18:41:52
TCK-BCF528F0,requesting additional WinSCP seat for new Data Science hire,Service Request,Software License Request,P4-Low,Director,Legal,2026-02-06T19:41:56
TCK-E9F7D142,requesting installation of Outlook - approved by Nathan,Service Request,Software Installation Request,P4-Low,Associate,Sales,2026-07-13T09:24:06
TCK-52EF416A,"locked out of my account after 9 failed attempts,",Incident,Login/Authentication Failure,P2-High,Associate,Engineering,2025-05-26T17:08:20
TCK-BB19099C,need firewall rule opened for port 7 to CRM,Change Request,Firewall/Network Change,P2-High,Team Lead,Marketing,2025-09-03T23:16:26
TCK-72315D63,need MS Teams installed on my laptop for Engineering work,Service Request,Software Installation Request,P4-Low,Associate,Legal,2026-07-17T08:59:44
TCK-874C032D,"Salesforce freezes when i try to push code, need this fixed today if possible",Incident,Application Crash or Error,P2-High,Manager,Engineering,2025-03-28T12:30:03
TCK-5F5CFC5F,"Figma crashes every time i export data, error code 0x8007045",Incident,Application Crash or Error,P2-High,Team Lead,Engineering,2025-05-09T04:35:56
TCK-4FEEEFD5,Need enterprise license upgrade for IntelliJ IDEA for 48 users,Service Request,Software License Request,P4-Low,Associate,Data Science,2026-08-16T21:25:07
TCK-9BA0418A,Need Slack installed on my laptop for Legal work,Service Request,Software Installation Request,P3-Medium,Associate,Finance,2026-03-16T00:15:38
TCK-7F133E1C,requesting additional VS Code seat for new Data Science hire,Service Request,Software License Request,P4-Low,Team Lead,Design,2026-02-05T09:03:28
TCK-01929693,Requesting additional VS Code seat for new Marketing hire,Service Request,Software License Request,P4-Low,Team Lead,Finance,2025-05-04T08:54:25
TCK-1CAA783B,can someone set up Anaconda on my machine,Service Request,Software Installation Request,P3-Medium,Associate,Legal,2025-06-05T00:01:46
TCK-0C6A3863,need firewall rule opened for port 21 to client SFTP,Change Request,Firewall/Network Change,P2-High,Team Lead,QA,2026-09-04T09:59:26
TCK-0FDDAB03,Need read/write access to analytics dashboard for Data Science project,Service Request,Access/Permission Request,P1-Critical,Senior Manager,HR,2025-07-07T00:28:08
TCK-D22A37E4,need firewall rule opened for port 18 to prod database,Change Request,Firewall/Network Change,P2-High,Director,DevOps,2026-01-20T16:35:58
TCK-63190A2C,RFC for production release of MS Teams v38.0 this sprint,Change Request,Application Deployment/Release,P2-High,Senior Associate,Finance,2026-02-04T14:41:07
TCK-0DEC5BEC,Need Excel installed on my laptop for Design work,Service Request,Software Installation Request,P3-Medium,Associate,Engineering,2026-02-27T20:12:31
TCK-63CFDE0A,Need read/write access to Jira project for Design project,Service Request,Access/Permission Request,P1-Critical,Director,Finance,2025-12-05T13:45:51
TCK-52942128,requesting config rollback on analytics dashboard after last night's change,Change Request,Server Configuration Change,P3-Medium,Senior Associate,Data Science,2025-09-08T13:31:03
TCK-6A5965E0,RFC for production release of Slack v30.0 this sprint,Change Request,Application Deployment/Release,P1-Critical,Team Lead,Customer Support,2026-02-10T09:40:08
TCK-0236F6DB,New joiner needs Adobe Photoshop + standard Engineering toolset installed,Service Request,Software License Request,P2-High,Manager,Legal,2026-05-14T04:48:39
TCK-0EC7252C,RFC for production release of Zoom v3.0 this sprint,Change Request,Application Deployment/Release,P3-Medium,Team Lead,QA,2025-05-22T08:25:41
TCK-1F144B76,Requesting installation of Outlook - approved by Chad,Service Request,Software Installation Request,P1-Critical,Manager,Legal,2025-05-12T09:40:16
TCK-4EDE8B35,Requesting installation of SAP GUI - approved by Timothy,Service Request,Software Installation Request,P2-High,VP,Data Science,2026-01-04T14:46:12
TCK-26D3594B,need read/write access to internal wiki for Marketing project,Service Request,Access/Permission Request,P2-High,Manager,Finance,2025-03-24T05:05:12
TCK-A5D0B256,"Figma freezes when i try to run a report, need this fixed",Incident,Application Crash or Error,P2-High,VP,Data Science,2025-11-27T16:26:53
TCK-0F8CA403,RFC for production release of WinSCP v8.0 this sprint,Change Request,Application Deployment/Release,P3-Medium,Associate,Customer Support,2026-06-02T08:31:25
TCK-F18801A5,can someone set up VS Code on my machine before EOD,Service Request,Software License Request,P4-Low,Team Lead,HR,2025-08-13T19:41:20
TCK-27038D05,"Laptop battery draining within 34 mins, needs replacement",Incident,Hardware Malfunction,P2-High,Senior Associate,Customer Support,2026-04-23T18:41:22
TCK-B2C6FE61,need firewall rule opened for port 7 to billing system,Change Request,Firewall/Network Change,P2-High,Team Lead,Sales,2026-07-21T03:47:58
TCK-3ED59354,RFC for production release of Zoom v16.0 this sprint,Change Request,Application Deployment/Release,P3-Medium,Associate,DevOps,2026-03-20T00:54:45
TCK-CF3E2ACF,"Need an external monitor for wfh setup, approved by Jason",Service Request,New Hardware/Peripheral Request,P2-High,Senior Manager,Procurement,2025-12-22T20:33:14
TCK-F842C5E7,Need read/write access to staging server for Finance project,Service Request,VPN Access Setup,P1-Critical,Director,Design,2025-05-03T21:46:38
TCK-023D4321,requesting installation of Git client - approved by Kelly,Service Request,Software Installation Request,P3-Medium,Senior Associate,Marketing,2025-11-02T02:12:25
TCK-FC4EA7C1,RFC for production release of IntelliJ IDEA v34.0 this sprint,Change Request,Application Deployment/Release,P2-High,Associate,Design,2025-09-28T23:43:38
TCK-B4AD17F4,"Laptop battery draining within 48 mins, needs replacement",Incident,Hardware Malfunction,P3-Medium,Manager,Data Science,2026-08-19T22:19:44
TCK-8A7ED8CE,requesting Jorge be added as owner of Engineering DL,Service Request,Distribution List / Mailbox Request,P1-Critical,Senior Manager,Sales,2025-11-07T16:18:19
TCK-063150C0,"need an external monitor for wfh setup, approved by Fred",Service Request,New Hardware/Peripheral Request,P4-Low,Team Lead,QA,2026-05-30T20:12:38
TCK-F39ED9B8,Git client is throwing an exception on startup since since last night,Incident,Application Crash or Error,P2-High,Senior Associate,Engineering,2025-10-23T08:11:57
TCK-ED10BC49,"need an external monitor for wfh setup, approved by Jesse",Service Request,New Hardware/Peripheral Request,P3-Medium,Team Lead,Legal,2025-09-02T00:51:32
TCK-42094245,"my VPN keeps disconnecting every 10 mins, can't open a file",Incident,Network/VPN Connectivity Issue,P1-Critical,Associate,Marketing,2026-07-17T10:02:59
TCK-475201BA,"plz grant access to shared drive repo, approved by Levi",Service Request,Access/Permission Request,P2-High,Team Lead,Marketing,2026-04-08T01:39:45
